,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kodiak,75,US,83,39.95,-94.76,81.0,6.93
1,Thinadhoo,20,MV,77,0.53,72.93,82.73,11.72
2,Limbang,75,BN,70,4.75,115.01,87.8,4.7
3,Mount Isa,4,AU,13,-20.73,139.49,84.2,11.41
4,Aden,0,YE,71,12.79,45.03,86.94,10.33
5,Qaanaaq,3,GL,58,77.48,-69.36,27.47,3.76
6,Buraydah,20,SA,22,26.33,43.97,89.6,11.41
7,Nikolskoye,40,RU,93,59.7,30.79,55.0,2.24
8,Vostok,0,RU,46,46.45,135.83,74.95,3.38
9,East London,0,ZA,85,-33.02,27.91,50.08,6.91
10,Port Alfred,98,ZA,81,-33.59,26.89,59.0,5.01
11,Norman Wells,75,CA,81,65.28,-126.83,53.6,5.82
12,Port Hedland,0,AU,61,-20.31,118.58,78.8,6.93
13,Rikitea,100,PF,86,-23.12,-134.97,72.34,12.06
14,Khatanga,58,RU,65,71.98,102.47,39.37,14.03
15,Kapaa,40,US,55,22.08,-159.32,87.8,9.17
16,Hobart,40,AU,62,-42.88,147.33,57.99,13.87
17,Mataura,100,NZ,83,-46.19,168.86,53.01,3.0
18,Idlib,0,SY,69,35.93,36.64,78.8,13.87
19,Milas,0,TR,88,37.31,27.78,68.0,3.36
20,Anadyr,75,RU,81,64.73,177.51,48.0,4.47
21,Busselton,92,AU,43,-33.64,115.35,61.0,22.01
22,George,33,MW,94,-15.35,34.83,58.52,0.18
23,Laguna,40,BZ,83,16.17,-88.94,82.4,1.99
24,Albany,75,US,73,42.65,-73.75,70.0,3.36
25,Porosozero,100,RU,97,62.72,32.71,49.38,4.12
26,Strezhevoy,90,RU,100,60.73,77.6,50.0,2.24
27,New Norfolk,40,AU,62,-42.78,147.06,57.99,13.87
28,Esperance,40,AU,58,-33.86,121.89,55.4,26.4
29,Sur,100,OM,46,22.57,59.53,85.7,6.58
30,Ahipara,100,NZ,100,-35.17,173.16,61.0,14.12
31,Porto Walter,8,BR,67,-8.27,-72.74,76.3,2.08
32,Punta Arenas,0,CL,69,-53.16,-70.91,35.01,10.29
33,Dingle,100,PH,73,11.0,122.67,85.68,10.49
34,Bambous Virieux,75,MU,94,-20.34,57.76,69.01,11.41
35,Zelenogorskiy,43,RU,100,55.03,87.0,44.6,4.47
36,Sept-Iles,40,CA,93,50.2,-66.38,41.0,3.36
37,Adrar,20,DZ,29,27.87,-0.29,91.4,16.11
38,Avarua,37,CK,64,-21.21,-159.78,73.4,14.99
39,Provideniya,75,RU,87,64.42,-173.23,55.4,11.18
40,Flagstaff,1,US,77,35.2,-111.65,90.0,6.53
41,Bushehr,0,IR,70,28.97,50.84,86.0,17.76
42,Niteroi,0,BR,87,-29.95,-51.16,53.6,3.36
43,Kununurra,100,AU,58,-15.77,128.74,82.4,8.05
44,Morant Bay,20,JM,62,17.88,-76.41,86.0,12.75
45,Ushuaia,40,AR,69,-54.81,-68.31,35.6,23.04
46,Sangar,0,RU,44,63.92,127.47,51.97,11.48
47,Bukama,0,CD,47,-9.2,25.85,68.1,2.8
48,Gediz,0,TR,88,38.99,29.39,54.0,3.0
49,Homa Bay,0,KE,93,-0.53,34.45,64.4,5.44
50,Jamestown,16,AU,45,-33.21,138.6,69.95,5.95
51,Bluff,84,AU,13,-23.58,149.07,85.66,4.25
52,Tuktoyaktuk,20,CA,62,69.44,-133.03,53.6,8.05
53,Atuona,0,PF,77,-9.8,-139.03,79.15,14.23
54,Vaini,75,IN,100,15.34,74.49,69.8,11.41
55,Airai,88,TL,44,-8.93,125.41,81.69,7.11
56,Xuddur,1,SO,80,4.12,43.89,70.78,16.64
57,Cape Town,75,ZA,87,-33.93,18.42,60.01,11.41
58,Clyde River,90,CA,100,70.47,-68.59,39.2,4.7
59,Mahebourg,75,MU,94,-20.41,57.7,69.01,11.41
60,Morondava,0,MG,63,-20.3,44.28,70.89,11.56
61,Port Elizabeth,1,US,94,39.31,-74.98,73.4,3.36
62,Kedrovyy,0,RU,76,56.17,91.82,53.6,6.71
63,Victoria,75,BN,79,5.28,115.24,87.8,2.24
64,Talnakh,75,RU,100,69.49,88.39,44.6,6.71
65,Trinidad,88,BO,40,-14.83,-64.9,75.6,4.16
66,Severo-Kurilsk,100,RU,97,50.68,156.12,50.19,11.27
67,Alofi,75,NU,74,-19.06,-169.92,78.8,17.22
68,Mahibadhoo,100,MV,72,3.78,72.97,82.82,5.39
69,Sosnovo-Ozerskoye,100,RU,80,52.53,111.54,59.92,1.83
70,Te Anau,100,NZ,78,-45.41,167.72,46.51,0.89
71,Bilma,0,NE,16,18.69,12.92,92.16,6.93
72,San Patricio,0,PY,85,-26.98,-56.83,52.99,7.87
73,Hamilton,75,CA,88,43.26,-79.87,75.0,9.17
74,Castro,0,CL,72,-42.48,-73.76,42.8,12.75
75,Mar del Plata,12,AR,68,-46.43,-67.52,31.23,5.77
76,Nemuro,20,JP,52,43.32,145.57,69.8,3.36
77,Bansi,92,IN,67,27.18,82.93,87.37,6.17
78,Waddan,0,LY,85,29.16,16.14,71.3,6.04
79,Karatau,94,KZ,84,43.18,70.46,63.0,6.46
80,Leningradskiy,98,RU,82,69.38,178.42,35.62,5.1
81,Hithadhoo,7,MV,77,-0.6,73.08,82.95,11.36
82,Dallas,1,US,58,32.78,-96.8,89.01,4.7
83,Tecoanapa,75,MX,79,16.99,-99.26,84.2,6.93
84,Saldanha,0,PT,42,41.42,-6.55,67.39,1.59
85,Porto Novo,40,BR,93,-23.68,-45.44,64.4,2.24
86,North Auburn,20,US,50,47.34,-122.23,77.0,4.7
87,Touros,20,BR,94,-5.2,-35.46,73.4,4.7
88,Yumen,28,CN,20,40.29,97.04,81.7,14.18
89,Lavrentiya,78,RU,84,65.58,-170.99,47.23,10.96
90,Ust-Kulom,26,RU,86,61.69,53.69,48.24,1.74
91,Lorengau,100,PG,85,-2.02,147.27,80.32,10.83
92,Concepcion,33,CO,86,9.56,-73.66,78.07,5.17
93,Kaitangata,100,NZ,61,-46.28,169.85,53.01,3.0
94,Maua,6,KE,86,0.23,37.94,48.08,2.82
95,Tasiilaq,100,GL,54,65.61,-37.64,39.2,3.36
96,Tallahassee,20,US,88,30.44,-84.28,82.99,3.83
97,Ancud,0,CL,72,-41.87,-73.83,42.8,12.75
98,Dikson,90,RU,85,73.51,80.55,39.26,5.77
99,Portland,75,US,93,43.66,-70.25,64.0,2.01
100,Thompson,90,CA,93,55.74,-97.86,46.4,8.05
101,Atar,14,MR,35,20.52,-13.05,91.71,13.67
102,Tiksi,89,RU,80,71.64,128.87,43.9,6.89
103,Hilo,40,US,55,19.71,-155.08,87.8,9.17
104,Flin Flon,61,CA,92,54.77,-101.88,49.48,6.69
105,Carnarvon,44,ZA,16,-30.97,22.13,47.36,1.86
106,Hasaki,75,JP,88,35.73,140.83,75.2,9.17
107,Winnemucca,1,US,14,40.97,-117.74,87.8,5.82
108,Arraial do Cabo,100,BR,93,-22.97,-42.02,70.15,5.57
109,Chokurdakh,38,RU,49,70.62,147.9,54.45,6.89
110,Birao,100,CF,95,10.3,22.78,72.06,6.15
111,Kurdzhinovo,0,RU,60,43.99,40.96,49.84,5.41
112,Yellowknife,75,CA,66,62.45,-114.38,50.0,8.05
113,Puerto Ayora,88,EC,95,-0.74,-90.35,70.0,1.01
114,Kandrian,100,PG,72,-6.21,149.55,79.33,10.74
115,Kavaratti,79,IN,78,10.57,72.64,82.44,20.07
116,Morehead,1,US,78,38.18,-83.43,77.0,8.05
117,Klaksvik,100,FO,61,62.23,-6.59,48.2,17.22
118,Neiafu,75,TO,74,-18.65,-173.98,78.8,16.11
119,Hermanus,100,ZA,96,-34.42,19.24,55.0,6.17
120,Cabo San Lucas,75,MX,54,22.89,-109.91,87.01,11.41
121,Mehamn,9,NO,71,71.03,27.85,47.86,16.24
122,Gao,69,ML,41,16.28,-0.04,90.13,4.43
123,Mezen,100,RU,92,65.85,44.24,58.56,8.39
124,Quang Ngai,92,VN,66,15.12,108.8,82.12,3.89
125,Kupang,20,ID,45,-10.16,123.6,84.2,11.41
126,Tual,98,ID,85,-5.67,132.75,75.37,15.01
127,Ambon,0,FR,93,47.55,-2.56,57.99,6.93
128,Lata,25,IN,73,30.78,78.62,49.61,4.12
129,Verdun,0,FR,76,49.16,5.39,54.0,2.33
130,Zhigansk,64,RU,48,66.77,123.37,48.64,4.56
131,Oranjestad,20,AW,79,12.52,-70.03,84.2,18.34
132,Gat,47,SN,94,14.69,-16.54,80.6,8.05
133,Kijang,90,KR,78,35.24,129.21,78.8,2.24
134,Ostrovnoy,96,RU,77,68.05,39.51,52.96,12.21
135,Coquimbo,40,CL,87,-29.95,-71.34,50.0,3.89
136,Saskylakh,100,RU,87,71.97,114.09,41.46,8.99
137,Labuhan,0,ID,33,-2.54,115.51,90.85,3.33
138,Dicabisagan,100,PH,71,17.08,122.42,84.82,1.28
139,Hambantota,40,LK,100,6.12,81.12,78.8,4.7
140,Chiredzi,0,ZW,75,-21.05,31.67,59.65,1.9
141,Khudumelapye,0,BW,54,-23.91,24.95,51.7,6.17
142,Saint-Philippe,90,CA,67,45.36,-73.48,64.4,5.82
143,Parvatsar,0,IN,74,26.88,74.77,84.94,7.85
144,Klishkivtsi,75,UA,100,48.43,26.26,57.2,6.71
145,Lasa,0,CY,78,34.92,32.53,73.4,5.82
146,Christchurch,100,NZ,93,-43.53,172.64,52.0,12.75
147,Victoria,75,BN,79,5.28,115.24,87.8,2.24
148,Vila do Maio,40,CV,88,15.13,-23.22,80.6,12.75
149,Kruisfontein,1,ZA,90,-34.0,24.73,49.88,8.99
150,Rabo de Peixe,75,PT,72,37.8,-25.58,71.01,14.99
151,Vao,26,EE,83,59.1,26.19,51.59,8.3
152,Hami,0,CN,24,42.84,93.51,82.53,4.16
153,Saint Lawrence,0,MT,88,36.06,14.2,78.01,5.82
154,Harjavalta,99,FI,93,61.31,22.13,53.6,8.05
155,San Antonio,0,CL,93,-33.58,-71.61,46.4,2.24
156,Lompoc,75,US,87,34.64,-120.46,81.0,5.82
157,Bull Savanna,42,JM,80,17.89,-77.59,82.48,7.67
158,Biguacu,75,BR,72,-27.49,-48.66,61.0,11.41
159,Roald,9,NO,66,62.58,6.12,51.8,8.05
160,Priyutovo,15,RU,95,53.89,53.93,44.88,8.14
161,Bredasdorp,99,ZA,87,-34.53,20.04,54.0,5.82
162,Le Port,0,FR,74,42.87,1.37,59.0,3.27
163,Zhezkazgan,100,KZ,75,47.8,67.71,42.8,4.47
164,Pisco,0,PE,30,-13.71,-76.2,71.6,13.87
165,Fairbanks,75,US,55,64.84,-147.72,64.4,9.17
166,Ponta do Sol,43,BR,46,-20.63,-46.0,70.92,4.47
167,Torbay,90,CA,100,47.66,-52.73,62.01,23.04
168,Canalete,40,CO,88,8.79,-76.24,80.6,11.41
169,Two Hills,51,CA,78,53.71,-111.75,58.0,0.96
170,Pevek,0,RU,81,69.7,170.27,38.95,1.72
171,Saint George,20,GR,72,39.45,22.34,68.0,1.72
172,Santa Rosa,0,AR,50,-36.62,-64.29,37.15,11.48
173,Ippy,100,CF,98,6.26,21.2,69.09,6.33
174,Palmer,0,AU,87,-34.85,139.16,57.99,10.29
175,Prince Rupert,75,CA,93,54.32,-130.32,57.2,2.24
176,Guatire,40,VE,83,10.47,-66.54,78.8,3.36
177,Innisfail,100,AU,11,-17.52,146.03,79.0,8.99
178,Port Augusta,0,AU,63,-32.49,137.76,75.99,9.17
179,Port Blair,100,IN,81,11.67,92.75,82.17,24.52
180,Oriximina,33,BR,54,-1.77,-55.87,84.96,4.41
181,Werneck,75,BR,88,-22.22,-43.32,71.6,3.36
182,Codrington,0,AU,16,-28.95,153.24,86.0,14.99
183,Georgetown,0,GY,83,6.8,-58.16,82.4,9.17
184,Cidreira,98,BR,61,-30.17,-50.22,53.1,5.1
185,Morro Bay,1,US,60,35.37,-120.85,99.0,4.7
186,Burnie,57,AU,64,-41.05,145.91,57.99,5.99
187,Kabanjahe,100,ID,43,3.1,98.49,91.99,1.68
188,Liverpool,100,GB,93,53.41,-2.98,61.0,6.93
189,Senador Guiomard,0,BR,100,-10.15,-67.74,71.6,2.24
190,Fort Nelson,75,CA,82,58.81,-122.69,66.2,2.71
191,Biak,54,ID,45,-0.91,122.88,77.51,3.53
192,Port Lincoln,79,AU,81,-34.72,135.86,57.76,11.79
193,Richmond,40,CA,69,49.16,-123.14,73.99,0.94
194,Butaritari,48,KI,67,3.07,172.79,85.02,5.01
195,Arrifes,75,PT,72,37.77,-25.7,71.01,14.99
196,Santa Cruz de Tenerife,90,ES,88,28.47,-16.25,73.4,13.87
197,Hearst,100,CA,57,49.69,-83.67,51.14,9.01
198,Katsuura,75,JP,88,33.93,134.5,90.0,4.7
199,Naryan-Mar,0,RU,87,67.67,53.09,52.83,9.42
200,Berdigestyakh,100,RU,92,62.1,126.7,47.72,2.8
201,Diamantino,21,BR,43,-14.4,-56.44,80.64,4.34
202,Half Moon Bay,90,US,87,37.46,-122.43,72.0,11.41
203,Saint-Georges,99,CA,91,46.12,-70.67,54.0,5.59
204,Cherskiy,62,RU,37,68.75,161.3,53.03,4.18
205,Upernavik,0,GL,61,72.79,-56.15,37.14,6.55
206,Bethel,90,US,93,60.79,-161.76,57.2,17.22
207,Ambam,99,CM,98,2.38,11.27,68.31,3.06
208,Antalaha,98,MG,97,-14.9,50.28,59.55,4.07
209,Campbellton,100,CA,76,48.0,-66.68,43.92,0.45
210,Sheridan,75,US,44,39.65,-105.03,77.0,6.93
211,Chapais,90,CA,71,49.78,-74.86,50.0,8.05
212,Fredericton,75,CA,82,45.97,-66.65,57.99,4.7
213,Pacific Grove,1,US,68,36.62,-121.92,80.6,11.41
214,Vila,75,IT,72,45.18,8.4,70.0,8.05
215,Ahuimanu,40,US,43,21.44,-157.84,91.4,16.11
216,Riverton,1,US,35,43.02,-108.38,72.0,8.05
217,Nan,75,TH,94,18.78,100.78,77.0,4.7
218,Heinola,0,FI,93,61.2,26.03,46.4,1.12
219,Belmonte,0,PT,84,40.36,-7.35,73.99,0.83
220,Jachymov,0,CZ,75,50.36,12.93,55.0,2.24
221,Kirakira,74,SB,85,-10.46,161.92,78.9,18.75
222,Constitucion,75,MX,49,23.99,-104.67,70.0,4.7
223,Salalah,90,OM,100,17.01,54.1,78.8,4.7
224,Ngorongoro,60,TZ,81,-3.24,35.49,60.19,17.25
225,Barrow,3,AR,76,-38.31,-60.23,36.07,11.41
226,Dossor,92,KZ,44,47.52,52.98,62.43,7.18
227,Nizhnekamsk,75,RU,93,55.64,51.82,48.2,8.95
228,Presidencia Roque Saenz Pena,15,AR,77,-26.79,-60.44,52.78,7.76
229,Lisakovsk,100,KZ,74,52.55,62.49,51.19,10.02
230,Marktheidenfeld,20,DE,62,49.85,9.61,55.0,4.7
231,Beringovskiy,100,RU,87,63.05,179.32,42.21,6.96
232,Vanavara,0,RU,50,60.35,102.28,58.95,3.31
233,Karratha,0,AU,15,-20.74,116.85,85.18,6.08
234,Aklavik,75,CA,71,68.22,-135.01,53.6,3.36
235,Nata,0,BW,60,-20.21,26.19,58.99,11.16
236,Chernyshevskiy,100,RU,85,63.01,112.47,52.65,8.03
237,Namatanai,96,PG,80,-3.66,152.44,81.15,14.74
238,Isangel,40,VU,61,-19.55,169.27,77.0,6.93
239,Pangoa,100,PE,98,-12.12,-73.0,68.4,3.18
240,Campina Verde,23,BR,55,-19.54,-49.49,75.31,6.35
241,Niquelandia,0,BR,29,-14.47,-48.46,73.8,6.35
242,Nauta,16,PE,88,-4.51,-73.58,74.52,2.3
243,Aguimes,20,ES,68,27.91,-15.45,71.6,13.87
244,Tiarei,40,PF,74,-17.53,-149.33,82.4,13.87
245,Paranaiba,8,BR,56,-19.68,-51.19,76.61,7.56
246,Lusambo,100,CD,96,-4.97,23.44,68.1,3.02
247,Bilibino,0,RU,34,68.06,166.44,46.12,3.71
248,Saint-Pierre,0,FR,87,48.95,4.24,53.6,2.24
249,Ranong,75,TH,88,9.96,98.62,82.4,5.82
250,Shingu,20,JP,74,33.72,135.99,86.0,5.82
251,Fortuna,40,US,77,40.6,-124.16,66.99,13.87
252,Alanya,75,TR,83,36.55,32.0,77.0,3.36
253,Vung Tau,88,VN,81,10.35,107.08,80.26,14.16
254,Luderitz,67,NA,87,-26.65,15.16,53.6,5.82
255,Perelyub,0,RU,89,51.87,50.37,49.11,7.63
256,Kindu,85,CD,99,-2.95,25.92,69.39,2.89
257,Sao Jose da Coroa Grande,19,BR,95,-8.9,-35.15,68.24,2.8
258,Chake Chake,50,TZ,77,-5.25,39.77,77.83,12.33
259,Saint-Joseph,0,FR,77,43.56,6.97,73.4,3.36
260,Gonaives,97,HT,70,19.45,-72.68,84.89,9.31
261,Xiamen,40,CN,66,24.46,118.07,87.8,15.66
262,Sibolga,100,ID,87,1.74,98.78,78.27,8.16
263,Sacama,6,EC,85,-3.9,-79.27,58.14,2.55
264,Narsaq,100,GL,81,60.91,-46.05,46.4,6.93
265,Sao Joao da Barra,3,BR,86,-21.64,-41.05,70.38,2.95
266,Maniitsoq,100,GL,92,65.42,-52.9,42.18,16.82
267,Melbu,100,NO,89,68.5,14.83,50.0,28.3
268,Srandakan,15,ID,81,-7.94,110.25,74.68,12.24
269,Teguldet,100,RU,97,57.31,88.17,45.54,3.2
270,Vaitape,15,PF,85,-16.52,-151.75,77.8,20.49
271,Tigzirt,0,DZ,85,36.57,4.2,63.4,1.52
272,Ribeira Grande,100,PT,72,38.52,-28.7,69.1,12.33
273,Soe,67,EE,93,57.91,26.05,51.01,1.12
274,Seymchan,77,RU,33,62.93,152.39,64.62,12.75
275,Faya,20,SA,59,18.39,42.45,66.2,2.21
276,Sioux Falls,20,US,72,43.55,-96.7,68.0,5.82
277,Kahului,40,US,52,20.89,-156.47,89.6,21.92
278,Kungurtug,24,RU,58,50.6,97.53,62.71,0.72
279,Alice Springs,0,AU,7,-23.7,133.88,86.0,18.34
280,Kuytun,33,RU,70,54.34,101.51,64.23,3.29
